,City,Shootings,Lat,Lng
0,"Mesquite, TX",4.0,32.7667955,-96.5991593
1,"St. Pauls, PA",4.0,40.2378775,-75.1308225
2,"Zanesville, OH",4.0,39.9403453,-82.0131924
3,"South Bend, IN",4.0,41.6763545,-86.2519898
4,"Rock Hill, SC",4.0,34.9248667,-81.0250784
5,"Lunenburg, VA",4.0,36.9612967,-78.2660275
6,"St. Petersburg, FL",12.0,27.7518284,-82.6267345
7,"KS City, KS",5.0,39.114053,-94.6274636
8,"Fayette County, GA",5.0,33.4502206,-84.4802606
9,"Norwalk, CA",4.0,33.9022367,-118.081733
10,"Milledgeville, GA",4.0,33.0801429,-83.2320991
11,"Seat Pleasant, MD",4.0,38.8962231,-76.9066399
12,"Haw River, NC",4.0,36.091526,-79.3641862
13,"Pittsfield, MA",5.0,42.4500845,-73.2453824
14,"Warrensville Heights, OH",6.0,41.4323067,-81.5102655
15,"St. Joseph County, IN",4.0,41.6228085,-86.3376761
16,"Reading, PA",4.0,40.3356483,-75.9268747
17,"Ross Township, PA",7.0,40.5367715,-80.0199562
18,"Windsor, CA",4.0,38.5471327,-122.8163802
19,"Bakersfield, CA",17.0,35.3732921,-119.0187125
20,"Franklin, IL",5.0,39.6203259,-90.0440001
21,"Fort Lauderdale, Fl",6.0,26.1224386,-80.1373174
22,"Williston, FL",5.0,29.38747,-82.4467705
23,"Smith County, TX",4.0,32.3352505,-95.3102505
24,"Winchester, KY",4.0,37.990079,-84.1796503
25,"Greenwood, SC",5.0,34.1954001,-82.1617883
26,"Troup County, GA",5.0,33.0698575,-85.023346
27,"Alturas, Ca",6.0,41.4871146,-120.5424555
28,"San Antonio, TX",15.0,29.4241219,-98.4936282
29,"Stockton, Ca",4.0,37.9577016,-121.2907796
30,"Queens, NY",13.0,40.7282239,-73.7948516
31,"Glade Spring, VA",5.0,36.791225,-81.7712324
32,"Portsmouth, VA",10.0,36.8354258,-76.2982742
33,"Palm Springs, FL",4.0,26.6359009,-80.0961538
34,"Stockton, CA",41.0,37.9577016,-121.2907796
35,"Wrightsville, GA",6.0,32.7293279,-82.719859
36,"Danville, IL",4.0,40.124481,-87.6300207
37,"Fort Pierce, FL",4.0,27.4467056,-80.3256056
38,"Huntsville, AL",5.0,34.7303688,-86.5861037
39,"Dinwiddie, VA",4.0,37.0774889,-77.5857056
40,"Guilderland, NY",4.0,,
41,"Fayetteville, NC",14.0,35.0526641,-78.8783585
42,"DeKalb, GA",13.0,33.7956441,-84.2278796
43,"Memphis, TN",58.0,35.1495343,-90.0489801
44,"Perry, FL",4.0,30.1174351,-83.5818147
45,"Pasadena, CA",5.0,34.1477849,-118.1445155
46,"Lansing, MI",9.0,42.732535,-84.5555347
47,"Jackson, MS",9.0,,
48,"Rocky MOunt, NC",4.0,35.9382103,-77.7905339
49,"York City, PA",4.0,,-76.727745
50,"Roswell, NM",4.0,33.3942655,-104.5230242
51,"MOncks Corner, SC",5.0,33.1960027,-80.0131374
52,"San Bernardino, CA",9.0,34.1083449,-117.2897652
53,"Virginia Beach, VA",9.0,36.8529263,-75.977985
54,"Walterboro, SC",7.0,32.9051704,-80.6667688
55,"Aiken, SC",4.0,33.5604168,-81.7195533
56,"Panama City Beach, FL",7.0,30.1765914,-85.8054879
57,"Elburn, IL",10.0,41.8922499,-88.4723014
58,"Indianapolis, IN",46.0,39.768403,-86.158068
59,"Manassas, VA",4.0,38.7509488,-77.4752667
60,"Terrell, TX",5.0,32.7359626,-96.2752569
61,"Albion, MI",4.0,,-84.7530304
62,"Fremont, OH",4.0,,
63,"Washington, DC",64.0,38.9071923,-77.0368707
64,"Santa Barbara,CA",12.0,,
65,"Los Angelas, CA",4.0,34.0522342,-118.2436849
66,"Darien, IL",4.0,41.7483483,-87.9737943
67,"Ocean Township, NJ",4.0,40.2479729,-74.029843
68,"Abbeville, LA",7.0,29.9746502,-92.1342921
69,"San Francisco, CA",21.0,37.7749295,-122.4194155
70,"Hampton, VA",5.0,37.0298687,-76.3452218
71,"Madison County, AL",4.0,34.7239731,-86.4996546
72,"Tyrone, MO",9.0,,-91.8765399
73,"Menasha, WI",5.0,44.2022084,-88.4464973
74,"Philadelphia, PA",62.0,39.9525839,-75.1652215
75,"Avondale, AZ",4.0,,
76,"Louisville, KY",19.0,38.2526647,-85.7584557
77,"Ybor City, FL",4.0,27.9650212,-82.4350941
78,"Jersey City, NJ",12.0,40.7281575,-74.0776417
79,"Parsons, KS",4.0,37.3403384,-95.2610838
80,"East Germantown, PA",4.0,40.0428157,-75.1691305
81,"Hartford, CT",8.0,41.7637111,-72.6850932
82,"Manhatten, KS",4.0,39.1836082,-96.5716694
83,"Cincinnati, OH",28.0,39.1031182,-84.5120196
84,"Jackson, TN",4.0,35.6145169,-88.8139469
85,"Portland, OR",13.0,45.5230622,-122.6764816
86,"Lexington, SC",4.0,33.9815369,-81.2362107
87,"McKeesport, PA",4.0,40.3470671,-79.8641232
88,"Raleigh, NC",5.0,35.7795897,-78.6381787
89,"Oakdale, MN",5.0,44.9630216,-92.9649361
90,"Phonix, AZ",5.0,33.4483771,-112.0740373
91,"East Liverpool, OH",4.0,40.6186756,-80.5772928
92,"Seattle, WA",9.0,47.6062095,-122.3320708
93,Washington DC,15.0,38.9071923,-77.0368707
94,"Greensburg, KY",4.0,37.2608936,-85.4988548
95,"Washington Park, IL",4.0,38.6350501,-90.0928852
96,"St. Louis, MO",75.0,38.6270025,-90.1994042
97,"Stamford, CT",5.0,41.0534302,-73.5387341
98,"Dillon County, SC",5.0,34.3596012,-79.4253776
99,"Crockett County, TN",6.0,35.7812386,-89.1324866
100,"Deer Lodge, MT",5.0,46.3990941,-112.7383721
101,"Oakland, CA",35.0,37.8043637,-122.2711137
102,"Los Angeles, CA",50.0,34.0522342,-118.2436849
103,"Vanceboro, NC",4.0,35.3084953,-77.1541194
104,"San Jose, CA",5.0,37.3382082,-121.8863286
105,"Greenacres, FL",4.0,26.6276276,-80.1353896
106,"Chicago, Il",34.0,41.8781136,-87.6297982
107,"Columbia, MO",4.0,38.9517053,-92.3340724
108,"North Amityville, NY",4.0,40.6988709,-73.4098154
109,"Jacksonville, Fl",5.0,30.3321838,-81.655651
110,"Madera, CA",4.0,36.9613356,-120.0607176
111,"Akron, OH",9.0,41.0814447,-81.5190053
112,"Whitesburg, KY",4.0,37.1184318,-82.8268265
113,"Tuscaloosa, AL",5.0,33.2098407,-87.5691735
114,"Woonsocket, RI",4.0,42.0028761,-71.5147839
115,"Chicago, IL",205.0,41.8781136,-87.6297982
116,"Waynsboro, GA",4.0,33.0898731,-82.0156736
117,"Mesa, AZ",6.0,33.4151843,-111.8314724
118,"Lehigh Acres, FL",5.0,26.6253497,-81.6248026
119,"Jacksonville, FL",13.0,30.3321838,-81.655651
120,"Valdosta, GA",4.0,30.8327022,-83.2784851
121,"Bellflower, CA",4.0,33.8816818,-118.1170117
122,"Salinas, CA",11.0,36.6777372,-121.6555013
123,"Lookout Valley, TN",4.0,34.9939646,-85.3746811
124,"Englewood, IL",4.0,41.775305,-87.6416419
