City,City,Shootings,Lat,Lng
"Mesquite, TX","Mesquite, TX",4.0,32.7667955,-96.5991593
"St. Pauls, PA","St. Pauls, PA",4.0,40.2378775,-75.1308225
"Zanesville, OH","Zanesville, OH",4.0,39.9403453,-82.0131924
"South Bend, IN","South Bend, IN",4.0,41.6763545,-86.2519898
"Rock Hill, SC","Rock Hill, SC",4.0,34.9248667,-81.0250784
"Lunenburg, VA","Lunenburg, VA",4.0,36.9612967,-78.2660275
"St. Petersburg, FL","St. Petersburg, FL",12.0,27.7518284,-82.6267345
"KS City, KS","KS City, KS",5.0,39.114053,-94.6274636
"Fayette County, GA","Fayette County, GA",5.0,33.4502206,-84.4802606
"Norwalk, CA","Norwalk, CA",4.0,33.9022367,-118.081733
"Milledgeville, GA","Milledgeville, GA",4.0,33.0801429,-83.2320991
"Seat Pleasant, MD","Seat Pleasant, MD",4.0,38.8962231,-76.9066399
"Haw River, NC","Haw River, NC",4.0,36.091526,-79.3641862
"Pittsfield, MA","Pittsfield, MA",5.0,42.4500845,-73.2453824
"Warrensville Heights, OH","Warrensville Heights, OH",6.0,41.4323067,-81.5102655
"St. Joseph County, IN","St. Joseph County, IN",4.0,41.6228085,-86.3376761
"Reading, PA","Reading, PA",4.0,40.3356483,-75.9268747
"Ross Township, PA","Ross Township, PA",7.0,40.5367715,-80.0199562
"Windsor, CA","Windsor, CA",4.0,38.5471327,-122.8163802
"Bakersfield, CA","Bakersfield, CA",17.0,35.3732921,-119.0187125
"Franklin, IL","Franklin, IL",5.0,39.6203259,-90.0440001
"Fort Lauderdale, Fl","Fort Lauderdale, Fl",6.0,26.1224386,-80.1373174
"Williston, FL","Williston, FL",5.0,29.38747,-82.4467705
"Smith County, TX","Smith County, TX",4.0,32.3352505,-95.3102505
"Winchester, KY","Winchester, KY",4.0,37.990079,-84.1796503
"Greenwood, SC","Greenwood, SC",5.0,34.1954001,-82.1617883
"Troup County, GA","Troup County, GA",5.0,33.0698575,-85.023346
"Alturas, Ca","Alturas, Ca",6.0,41.4871146,-120.5424555
"San Antonio, TX","San Antonio, TX",15.0,29.4241219,-98.4936282
"Stockton, Ca","Stockton, Ca",4.0,37.9577016,-121.2907796
"Queens, NY","Queens, NY",13.0,40.7282239,-73.7948516
"Glade Spring, VA","Glade Spring, VA",5.0,36.791225,-81.7712324
"Portsmouth, VA","Portsmouth, VA",10.0,36.8354258,-76.2982742
"Palm Springs, FL","Palm Springs, FL",4.0,26.6359009,-80.0961538
"Stockton, CA","Stockton, CA",41.0,37.9577016,-121.2907796
"Wrightsville, GA","Wrightsville, GA",6.0,32.7293279,-82.719859
"Danville, IL","Danville, IL",4.0,40.124481,-87.6300207
"Fort Pierce, FL","Fort Pierce, FL",4.0,27.4467056,-80.3256056
"Huntsville, AL","Huntsville, AL",5.0,34.7303688,-86.5861037
"Dinwiddie, VA","Dinwiddie, VA",4.0,37.0774889,-77.5857056
"Guilderland, NY","Guilderland, NY",4.0,,
"Fayetteville, NC","Fayetteville, NC",14.0,35.0526641,-78.8783585
"DeKalb, GA","DeKalb, GA",13.0,33.7956441,-84.2278796
"Memphis, TN","Memphis, TN",58.0,35.1495343,-90.0489801
"Perry, FL","Perry, FL",4.0,30.1174351,-83.5818147
"Pasadena, CA","Pasadena, CA",5.0,34.1477849,-118.1445155
"Lansing, MI","Lansing, MI",9.0,42.732535,-84.5555347
"Jackson, MS","Jackson, MS",9.0,,
"Rocky MOunt, NC","Rocky MOunt, NC",4.0,35.9382103,-77.7905339
"York City, PA","York City, PA",4.0,,-76.727745
"Roswell, NM","Roswell, NM",4.0,33.3942655,-104.5230242
"MOncks Corner, SC","MOncks Corner, SC",5.0,33.1960027,-80.0131374
"San Bernardino, CA","San Bernardino, CA",9.0,34.1083449,-117.2897652
"Virginia Beach, VA","Virginia Beach, VA",9.0,36.8529263,-75.977985
"Walterboro, SC","Walterboro, SC",7.0,32.9051704,-80.6667688
"Aiken, SC","Aiken, SC",4.0,33.5604168,-81.7195533
"Panama City Beach, FL","Panama City Beach, FL",7.0,30.1765914,-85.8054879
"Elburn, IL","Elburn, IL",10.0,41.8922499,-88.4723014
"Indianapolis, IN","Indianapolis, IN",46.0,39.768403,-86.158068
"Manassas, VA","Manassas, VA",4.0,38.7509488,-77.4752667
"Terrell, TX","Terrell, TX",5.0,32.7359626,-96.2752569
"Albion, MI","Albion, MI",4.0,,-84.7530304
"Fremont, OH","Fremont, OH",4.0,,
"Washington, DC","Washington, DC",64.0,38.9071923,-77.0368707
